customer_id,customer_name,gender,age,city,state,customer_segment,registration_date
100001,Priya Iyer,Female,41,Delhi,Karnataka,New,2022-04-17 22:17:12
100002,Arjun Singh,Male,28,Bangalore,Maharashtra,Active,2022-05-01 19:21:48
100003,Sneha Patel,Female,48,Hyderabad,Tamil Nadu,Premium,2023-08-04 03:29:09
100004,Arjun Singh,Male,39,Kolkata,West Bengal,New,2022-12-19 06:15:39
100005,Sneha Mehta,Female,44,Kolkata,Delhi,Active,2022-07-19 18:48:39
100006,Kavya Mehta,Female,26,Chennai,Tamil Nadu,New,2024-04-15 14:07:51
100007,Arjun Chatterjee,Female,22,Delhi,Telangana,Inactive,2022-07-10 11:09:34
100008,Priya Verma,Female,31,Bangalore,Tamil Nadu,New,2024-12-17 04:51:30
100009,Kavya Gupta,Male,21,Kolkata,Maharashtra,Inactive,2023-06-20 01:33:19
100010,Sneha Patel,Female,41,Chennai,West Bengal,Inactive,2024-03-09 22:20:02
100011,Pooja Iyer,Male,34,Mumbai,Delhi,Active,2022-06-27 22:51:39
100012,Divya Kulkarni,Female,52,Chennai,Telangana,Inactive,2022-02-22 11:14:53
100013,Rohit Iyer,Male,39,Chennai,West Bengal,New,2022-04-24 03:06:30
100014,Manish Desai,Female,30,Chennai,Karnataka,New,2023-07-18 18:13:23
100015,Amit Verma,Male,42,Mumbai,Telangana,Premium,2023-11-22 11:10:27
100016,Divya Verma,Male,19,Hyderabad,Maharashtra,Active,2022-01-13 01:59:55
100017,Kavya Mehta,Male,22,Delhi,Tamil Nadu,Active,2023-06-20 07:52:23
100018,Ritu Desai,Male,54,Delhi,Telangana,Active,2023-11-07 00:11:39
100019,Sneha Mehta,Female,47,Hyderabad,Delhi,Active,2023-03-16 02:34:27
100020,Amit Patel,Male,33,Chennai,Maharashtra,Inactive,2024-01-31 15:24:17
100021,Kunal Desai,Male,44,Chennai,Maharashtra,Active,2023-06-18 01:24:15
100022,Ritu Iyer,Male,29,Mumbai,Maharashtra,Active,2024-09-26 03:34:22
100023,Rohit Iyer,Female,42,Mumbai,Delhi,New,2022-03-08 23:43:27
100024,Amit Gupta,Female,25,Bangalore,Karnataka,New,2024-11-14 18:45:33
100025,Rohit Gupta,Male,26,Bangalore,Telangana,Active,2024-06-18 17:58:14
100026,Vikas Joshi,Male,29,Chennai,Telangana,Active,2024-12-18 08:32:53
100027,Manish Patel,Female,27,Chennai,West Bengal,Active,2024-05-08 05:15:59
100028,Vikas Singh,Female,29,Mumbai,Delhi,Active,2022-07-03 15:11:18
100029,Kunal Iyer,Male,26,Hyderabad,Tamil Nadu,New,2024-09-16 08:33:55
100030,Rahul Singh,Male,33,Kolkata,Telangana,New,2022-10-29 11:52:20
100031,Divya Desai,Female,36,Delhi,Karnataka,Active,2022-08-30 09:41:41
100032,Manish Desai,Male,19,Bangalore,West Bengal,Active,2023-03-16 13:47:46
100033,Priya Nair,Male,27,Bangalore,Tamil Nadu,New,2022-08-23 09:25:07
100034,Pooja Chatterjee,Female,41,Bangalore,Delhi,New,2024-04-04 23:09:39
100035,Anjali Chatterjee,Female,40,Hyderabad,Delhi,New,2024-01-29 05:55:31
100036,Neha Sharma,Male,24,Mumbai,Maharashtra,New,2024-08-22 16:06:02
100037,Rahul Kulkarni,Male,19,Chennai,West Bengal,Premium,2022-01-21 07:21:41
100038,Manish Kulkarni,Female,55,Bangalore,Tamil Nadu,Active,2022-10-27 21:27:09
100039,Sneha Joshi,Female,35,Bangalore,Telangana,Active,2022-02-26 23:16:24
100040,Anjali Mehta,Male,57,Delhi,Karnataka,New,2023-01-18 06:19:47
100041,Amit Nair,Female,58,Kolkata,Karnataka,Inactive,2024-12-18 18:43:41
100042,Ritu Patel,Female,38,Bangalore,Telangana,New,2022-11-14 00:18:46
100043,Vikas Patel,Male,30,Bangalore,Maharashtra,New,2023-02-03 21:48:13
100044,Rahul Singh,Male,30,Pune,Telangana,Inactive,2024-09-03 23:11:29
100045,Ritu Iyer,Male,28,Bangalore,Karnataka,Inactive,2023-03-27 16:58:44
100046,Kunal Nair,Female,41,Bangalore,Telangana,Active,2024-03-01 16:16:57
100047,Suresh Kulkarni,Male,49,Delhi,Karnataka,Inactive,2024-01-22 17:27:12
100048,Pooja Patel,Male,33,Kolkata,Tamil Nadu,Active,2022-04-29 10:01:34
100049,Arjun Iyer,Male,33,Pune,Delhi,New,2024-06-30 22:36:37
100050,Manish Singh,Male,52,Delhi,Tamil Nadu,Inactive,2024-09-04 00:06:26
100051,Rahul Verma,Female,27,Chennai,West Bengal,New,2024-09-10 07:19:19
100052,Pooja Patel,Female,33,Bangalore,Maharashtra,Active,2023-06-19 17:07:31
100053,Kunal Patel,Female,52,Mumbai,West Bengal,New,2022-12-28 13:13:44
100054,Rohit Nair,Female,43,Mumbai,Telangana,New,2022-03-25 12:28:44
100055,Manish Desai,Male,39,Hyderabad,Delhi,Active,2024-02-03 14:20:26
100056,Anjali Singh,Female,37,Hyderabad,West Bengal,Active,2022-01-29 02:15:13
100057,Rahul Mehta,Male,29,Bangalore,West Bengal,New,2024-12-16 22:59:47
100058,Manish Chatterjee,Female,51,Mumbai,West Bengal,Active,2022-02-27 05:27:42
100059,Vikas Desai,Male,20,Mumbai,Telangana,Inactive,2022-01-11 16:03:43
100060,Rahul Singh,Male,28,Chennai,West Bengal,Active,2024-08-31 05:46:39
100061,Pooja Chatterjee,Male,59,Delhi,Tamil Nadu,Active,2024-02-02 17:01:30
100062,Priya Mehta,Female,26,Bangalore,Tamil Nadu,Active,2024-09-03 09:58:21
100063,Vikas Verma,Female,59,Pune,Maharashtra,New,2022-03-28 01:09:42
100064,Rohit Nair,Male,38,Bangalore,Delhi,Inactive,2024-04-02 21:14:27
100065,Divya Mehta,Male,23,Chennai,Karnataka,Active,2022-01-26 08:54:38
100066,Vikas Singh,Male,41,Pune,West Bengal,Active,2022-01-28 02:58:28
100067,Kunal Patel,Female,56,Kolkata,Delhi,New,2022-09-13 01:00:58
100068,Ritu Kulkarni,Female,37,Bangalore,Tamil Nadu,Premium,2022-07-15 15:10:07
100069,Sneha Patel,Male,33,Mumbai,Tamil Nadu,Premium,2023-09-15 12:00:34
100070,Arjun Desai,Female,38,Bangalore,Tamil Nadu,Active,2022-09-17 15:45:53
100071,Anjali Gupta,Female,52,Chennai,Delhi,Inactive,2024-12-18 06:30:32
100072,Arjun Nair,Male,33,Kolkata,Telangana,New,2024-11-07 02:10:29
100073,Ritu Singh,Female,37,Kolkata,Maharashtra,Inactive,2024-06-24 08:37:09
100074,Rahul Verma,Female,59,Hyderabad,Maharashtra,Active,2024-04-28 07:15:32
100075,Pooja Desai,Female,27,Chennai,Tamil Nadu,Active,2024-08-10 04:37:11
100076,Pooja Nair,Male,46,Mumbai,Karnataka,Premium,2023-09-11 17:41:10
100077,Priya Patel,Female,41,Hyderabad,Tamil Nadu,Active,2023-03-27 02:19:19
100078,Amit Nair,Male,54,Delhi,Telangana,Active,2022-12-13 21:44:51
